annee,arrond_id,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
2001,9,TR,282,113459.6,14928908.0
2001,3,CO,79,174884.0,27200500.0
2001,3,DE,54,2480.0,
2001,3,TR,508,228933.05,32804852.0
2001,27,CA,601,68819.0,22328644.0
2001,27,CO,156,169887.0,79649000.0
2001,27,DE,21,8938.0,
2001,27,TR,87,118165.0,69994238.0
2001,12,"CA, CO, DE, TR",128,68427.5,14636844.0
2001,16,"CO, DE, TR",846,69832.0,20422800.0
2001,6,CO,52,1424263.25,280750842.0
2001,6,DE,57,8965.0,
2001,6,TR,1228,3444988.07,453751541.0
2001,2,CO,20,87072.5,12676200.0
2001,2,DE,30,2235.0,
2001,2,TR,428,234378.03,38130670.0
2002,1,CO,65,122376.89,19965321.0
2002,1,DE,18,3760.0,
2002,1,TR,384,270520.8,21159570.0
2002,10,"CO, DE, TR",261,81853.0,51024015.0
2002,7,CO,42,471072.07,68150549.0
2002,7,DE,13,6050.0,
2002,7,TR,682,457555.94,61504061.0
2002,22,CA,121,5630.5,1259740.0
2002,22,CO,140,51316.0,22010050.0
2002,22,DE,12,550.0,69300.0
2002,22,TR,161,27452.2,11989685.0
2002,13,CA,1099,273378.0,1401072.0
2002,13,CO,157,45853.0,27570550.0
2002,13,TR,99,14355.15,7671200.0
2002,24,"CA, CO, DE, TR",410,113419.0,31944866.0
2002,5,CO,27,82094.0,12033000.0
2002,5,DE,64,4700.0,
2002,5,TR,713,785984.95,84435595.0
2002,8,CO,26,281650.53,37624850.0
2002,8,DE,34,4010.0,
2002,8,TR,267,206410.84,28640939.0
2002,4,CO,57,207524.72,27846084.0
2002,4,DE,36,3150.0,
2002,4,TR,482,395462.97,62384239.0
2002,25,"CA, CO, DE",1422,218801.0,76031703.0
2002,9,CO,343,267060.63,47780341.0
2002,9,DE,10,2170.0,
2002,9,TR,352,292315.84,41753093.0
2002,3,CO,72,207206.5,31187113.0
2002,3,DE,62,3410.0,
2002,3,TR,474,198711.27,27847483.0
2002,27,"CA, CO, DE, TR",941,308450.25,157452597.0
2002,12,CA,56,6250.0,985234.0
2002,12,CO,54,84300.0,37123000.0
2002,12,DE,13,1040.0,
2002,12,TR,258,61433.5,13466937.0
2002,16,"CO, DE, TR",758,110896.0,60371925.0
2002,6,CO,61,652039.16,89910863.0
2002,6,DE,23,4491.75,
2002,6,TR,1127,2825957.75,396224028.0
2002,2,CO,15,170062.0,22997864.0
2002,2,DE,23,1240.0,
2002,2,TR,308,98890.75,20414320.0
2003,1,CO,97,151712.13,26335909.0
2003,1,DE,27,6200.0,
2003,1,TR,470,244301.58,33103353.0
2003,10,"CO, DE, TR",265,82229.0,49049866.0
2003,7,CO,34,144130.39,20551504.0
2003,7,DE,38,5630.0,
2003,7,TR,829,1088843.42,146232532.0
2003,22,CA,111,7153.0,1804600.0
2003,22,CO,130,69635.0,30160085.0
2003,22,DE,14,646.1,69800.0
2003,22,TR,124,13710.0,5298219.0
2003,13,CA,1233,285229.0,1262504.0
2003,13,CO,151,65863.0,43673700.0
2003,13,TR,138,22832.0,13802900.0
2003,24,"CA, CO, DE, TR",405,160563.1,33678612.0
2003,5,CO,38,334404.57,44345242.0
2003,5,DE,23,6990.0,
2003,5,TR,1013,486143.01,59705667.0
2003,8,CO,42,258364.0,32642844.0
2003,8,DE,35,4700.0,
2003,8,TR,291,168759.31,23774220.0
2003,4,CO,52,215890.04,30636966.0
2003,4,DE,40,3790.0,
2003,4,TR,496,204576.34,31444494.0
2003,25,CA,1020,18050.0,2538521.0
2003,25,CO,450,208676.28,97957302.0
2003,25,DE,12,1650.0,
2003,9,CO,330,412486.23,68436124.0
2003,9,DE,26,5890.0,
2003,9,TR,442,285002.93,43152705.0
2003,3,CO,89,505718.43,68471321.0
2003,3,DE,78,6580.0,
2003,3,TR,560,469308.28,69070545.0
