heure,id_compteur,nb_passages
05:00:00,300014994,70
05:00:00,300014995,552
05:00:00,300014996,436
05:00:00,300020478,280
05:00:00,300020679,323
05:00:00,300020816,392
05:00:00,300020817,304
05:00:00,300021685,162
05:00:00,300022314,0
05:00:00,300028650,77
05:00:00,ZLT24020668,106
05:00:00,ZLT24020669,120
05:15:00,100001753,422
05:15:00,100003032,1046
05:15:00,100003040,28
05:15:00,100003041,763
05:15:00,100003042,333
05:15:00,100004575,0
05:15:00,100007390,1896
05:15:00,100011747,81
05:15:00,100011783,567
05:15:00,100012217,354
05:15:00,100012218,68
05:15:00,100017441,665
05:15:00,100017523,98
05:15:00,100025474,667
05:15:00,100034805,12
05:15:00,100035408,10
05:15:00,100035409,1
05:15:00,100041114,271
05:15:00,100047030,383
05:15:00,100052600,844
05:15:00,100052602,154
05:15:00,100052603,275
05:15:00,100052605,401
05:15:00,100052606,226
05:15:00,100053055,81
05:15:00,100053059,60
05:15:00,100053210,327
05:15:00,100054073,397
05:15:00,100055268,578
05:15:00,100056188,624
05:15:00,300014985,1092
05:15:00,300014986,572
05:15:00,300014993,319
05:15:00,300014994,91
05:15:00,300014995,499
05:15:00,300014996,695
05:15:00,300020478,709
05:15:00,300020679,664
05:15:00,300020816,725
05:15:00,300020817,432
05:15:00,300021685,441
05:15:00,300022314,0
05:15:00,300028650,171
05:15:00,ZLT24020668,108
05:15:00,ZLT24020669,416
05:30:00,100001753,1038
05:30:00,100003032,1875
05:30:00,100003040,95
05:30:00,100003041,840
05:30:00,100003042,515
05:30:00,100004575,0
05:30:00,100007390,1908
05:30:00,100011747,67
05:30:00,100011783,661
05:30:00,100012217,712
05:30:00,100012218,106
05:30:00,100017441,725
05:30:00,100017523,116
05:30:00,100025474,953
05:30:00,100034805,41
05:30:00,100035408,24
05:30:00,100035409,0
05:30:00,100041114,554
05:30:00,100047030,856
05:30:00,100052600,1660
05:30:00,100052602,260
05:30:00,100052603,530
05:30:00,100052605,405
05:30:00,100052606,448
05:30:00,100053055,191
05:30:00,100053059,83
05:30:00,100053210,376
05:30:00,100054073,272
05:30:00,100055268,1039
05:30:00,100056188,1640
05:30:00,300014985,1483
05:30:00,300014986,780
05:30:00,300014993,499
05:30:00,300014994,109
05:30:00,300014995,772
05:30:00,300014996,1363
05:30:00,300020478,822
05:30:00,300020679,1021
05:30:00,300020816,1182
05:30:00,300020817,702
05:30:00,300021685,395
05:30:00,300022314,0
05:30:00,300028650,230
05:30:00,ZLT24020668,85
05:30:00,ZLT24020669,210
05:45:00,100001753,1383
05:45:00,100003032,2016
05:45:00,100003040,186
05:45:00,100003041,1292
05:45:00,100003042,799
05:45:00,100004575,0
05:45:00,100007390,2145
05:45:00,100011747,67
05:45:00,100011783,887
05:45:00,100012217,938
05:45:00,100012218,237
05:45:00,100017441,1170
05:45:00,100017523,125
05:45:00,100025474,1375
05:45:00,100034805,13
05:45:00,100035408,27
05:45:00,100035409,2
05:45:00,100041114,436
05:45:00,100047030,898
05:45:00,100052600,1698
05:45:00,100052602,315
05:45:00,100052603,668
05:45:00,100052605,572
05:45:00,100052606,437
05:45:00,100053055,209
05:45:00,100053059,77
05:45:00,100053210,625
05:45:00,100054073,349
05:45:00,100055268,785
05:45:00,100056188,1441
05:45:00,300014985,1868
05:45:00,300014986,1111
05:45:00,300014993,698
05:45:00,300014994,141
05:45:00,300014995,891
05:45:00,300014996,1387
05:45:00,300020478,680
05:45:00,300020679,1285
05:45:00,300020816,1399
05:45:00,300020817,702
05:45:00,300021685,517
05:45:00,300022314,0
05:45:00,300028650,317
05:45:00,ZLT24020668,147
05:45:00,ZLT24020669,359
06:00:00,100001753,1644
06:00:00,100003032,2143
06:00:00,100003040,136
06:00:00,100003041,1444
06:00:00,100003042,964
06:00:00,100004575,0
06:00:00,100007390,2226
06:00:00,100011747,142
06:00:00,100011783,992
06:00:00,100012217,1273
06:00:00,100012218,292
06:00:00,100017441,1352
06:00:00,100017523,183
06:00:00,100025474,1592
06:00:00,100034805,15
06:00:00,100035408,36
06:00:00,100035409,0
06:00:00,100041114,553
06:00:00,100047030,801
06:00:00,100052600,2169
06:00:00,100052602,282
06:00:00,100052603,963
06:00:00,100052605,667
06:00:00,100052606,453
06:00:00,100053055,362
06:00:00,100053059,148
06:00:00,100053210,526
06:00:00,100054073,273
06:00:00,100055268,984
06:00:00,100056188,1503
06:00:00,300014985,2499
06:00:00,300014986,1089
06:00:00,300014993,937
06:00:00,300014994,238
06:00:00,300014995,706
06:00:00,300014996,1499
06:00:00,300020478,1325
06:00:00,300020679,1570
06:00:00,300020816,1755
06:00:00,300020817,848
06:00:00,300021685,422
06:00:00,300022314,0
06:00:00,300028650,489
06:00:00,ZLT24020668,112
06:00:00,ZLT24020669,319
